E.coli date,E.coli value,Max rainfall date (past 24 hours),Max rainfall value (past 24 hours),Max rainfall value (past 168 hours),Total rainfall value (past 168 hours)
2016-04-20,80.0,2016-04-19,0.0,1.5,1.5
2016-04-27,140.0,2016-04-26,0.0,8.88,15.820000000000002
2016-11-02,550.0,2016-11-01,0.13,9.6,15.59
2016-11-09,250.0,2016-11-08,5.63,12.13,37.67
2016-11-16,2500.0,2016-11-15,22.05,22.05,101.90999999999998
2016-11-23,900.0,2016-11-22,0.0,16.63,23.939999999999998
2016-11-30,180.0,2016-11-29,0.0,2.83,9.61
2016-12-07,300.0,2016-12-06,0.65,5.25,11.54
2016-12-13,260.0,2016-12-12,2.2,3.38,11.259999999999998
2016-12-20,940.0,2016-12-19,18.4,18.4,57.32999999999999
2016-12-29,3300.0,2016-12-28,3.28,8.85,19.169999999999998
2017-01-05,190.0,2017-01-04,4.65,10.0,35.46
2017-01-10,330.0,2017-01-09,1.95,8.65,15.38
2017-01-17,190.0,2017-01-16,4.88,8.13,28.35
2017-01-25,170.0,2017-01-24,2.55,9.45,42.61000000000001
2017-01-31,200.0,2017-01-30,4.38,4.38,11.14
2017-02-08,560.0,2017-02-07,9.25,42.1,86.88000000000001
2017-02-14,230.0,2017-02-13,1.73,9.25,17.119999999999997
2017-02-21,180.0,2017-02-20,2.17,15.88,32.68
2017-02-28,220.0,2017-02-27,0.0,0.23,0.23
2017-03-07,330.0,2017-03-06,1.08,1.08,1.21
2017-03-14,360.0,2017-03-13,11.35,22.25,48.11
2017-03-21,290.0,2017-03-20,0.0,1.88,2.32
2017-03-28,130.0,2017-03-27,1.95,14.78,49.82
2017-04-04,2500.0,2017-04-03,21.13,21.13,45.04
2017-04-11,1300.0,2017-04-10,0.0,26.1,74.97999999999999
2017-04-19,340.0,2017-04-18,8.1,17.25,68.82
2017-04-27,52.0,2017-04-26,0.2,0.2,0.81
2017-11-06,20.0,2017-11-05,2.63,3.75,10.67
2017-11-12,110.0,2017-11-11,0.0,8.5,17.81
2017-11-21,20.0,2017-11-20,0.0,0.0,0.0
2017-11-29,285.0,2017-11-28,0.0,0.0,0.0
2017-12-03,169.0,2017-12-02,0.0,0.0,0.0
2017-12-12,106.0,2017-12-11,2.1,3.5,5.6
2017-12-18,216.0,2017-12-17,0.0,2.1,2.1
2017-12-27,364.0,2017-12-26,5.98,5.98,10.240000000000002
2018-01-03,4610.0,2018-01-02,0.41,2.33,5.53
2018-01-08,488.0,2018-01-07,1.07,18.53,33.800000000000004
2018-01-14,452.0,2018-01-13,0.0,7.95,12.48
2018-01-24,399.0,2018-01-23,2.23,18.68,35.269999999999996
2018-01-29,355.0,2018-01-28,0.0,2.23,4.199999999999999
2018-03-06,249.0,2018-03-05,0.0,0.0,0.0
2018-03-12,146.0,2018-03-11,0.0,20.66,29.599999999999998
2018-03-18,295.0,2018-03-17,0.61,0.61,1.0
2018-03-27,295.0,2018-03-26,0.0,17.45,47.8
2018-04-05,175.0,2018-04-04,0.0,10.48,10.68
2018-04-08,20.0,2018-04-07,0.0,0.0,0.0
2018-04-15,96.0,2018-04-14,0.0,0.0,0.0
2018-04-23,161.0,2018-04-22,0.0,0.0,0.0
2018-11-12,228.0,2018-11-11,0.0,14.4,28.8
2018-11-18,504.0,2018-11-17,0.0,0.0,0.0
2018-11-26,1616.0,2018-11-25,1.0,5.8,11.2
2018-12-02,216.0,2018-12-01,0.0,22.8,47.8
2018-12-10,448.0,2018-12-09,0.0,16.6,23.2
2018-12-16,199.0,2018-12-15,2.0,2.0,4.8
2018-12-24,86.0,2018-12-23,0.0,33.4,56.4
2018-12-30,201.0,2018-12-29,0.0,15.4,16.0
2019-01-07,2490.0,2019-01-06,0.0,2.6,8.0
2019-01-13,160.0,2019-01-12,0.0,1.2,1.8
2019-01-22,359.0,2019-01-21,0.4,17.4,18.4
2019-01-27,323.0,2019-01-26,0.0,7.0,8.0
2019-02-04,20.0,2019-02-03,4.0,10.8,27.6
2019-02-10,109.0,2019-02-09,0.0,4.0,4.2
2019-02-19,397.0,2019-02-18,0.0,4.4,5.6000000000000005
2019-02-24,794.0,2019-02-23,27.8,27.8,31.0
2019-03-04,141.0,2019-03-03,0.0,12.8,12.8
2019-03-10,228.0,2019-03-09,12.0,12.0,14.8
2019-03-17,327.0,2019-03-16,0.0,12.4,21.6
2019-03-24,122.0,2019-03-23,0.0,0.2,0.2
2019-04-01,8160.0,2019-03-31,0.0,14.4,17.0
2019-04-07,110.0,2019-04-06,0.0,23.4,24.2
2019-04-15,52.0,2019-04-14,0.0,12.6,33.0
2019-04-21,813.0,2019-04-20,0.4,0.4,0.6000000000000001
2019-04-29,2046.0,2019-04-28,6.0,6.0,19.2
2019-11-04,187.0,2019-11-03,0.0,15.0,17.2
2019-11-10,880.0,2019-11-09,0.0,0.0,0.0
2019-11-18,6870.0,2019-11-17,3.4,18.0,63.8
2019-11-24,309.0,2019-11-23,0.0,34.6,44.8
2019-12-02,72.0,2019-12-01,0.0,1.4,1.5999999999999999
2019-12-08,307.0,2019-12-07,0.0,18.2,23.599999999999998
2019-12-16,20.0,2019-12-15,0.0,30.0,32.2
2019-12-22,591.0,2019-12-21,13.0,13.0,29.4
2019-12-30,145.0,2019-12-29,1.8,1.8,1.8
2020-01-05,279.0,2020-01-04,2.4,6.6,16.8
2020-01-13,189.0,2020-01-12,0.0,1.6,1.6
2020-01-19,74.0,2020-01-18,0.0,16.2,16.2
2020-01-27,420.0,2020-01-26,0.0,0.4,0.6000000000000001
2020-02-02,448.0,2020-02-01,0.0,15.0,30.4
2020-02-10,309.0,2020-02-09,0.0,3.0,4.8
2020-02-16,85.0,2020-02-15,0.0,0.2,0.2
2020-02-24,627.0,2020-02-23,8.2,8.8,25.799999999999997
2020-03-01,1576.0,2020-02-29,0.0,8.2,13.799999999999999
2020-03-09,1333.0,2020-03-08,0.0,13.0,13.0
2020-03-15,108.0,2020-03-14,0.0,6.4,7.0
2020-11-02,216.0,2020-11-01,3.6,37.8,46.4
2020-11-08,644.0,2020-11-07,2.6,4.2,17.400000000000002
2020-11-16,288.0,2020-11-15,0.0,5.0,9.6
2020-11-22,906.0,2020-11-21,0.0,29.0,32.6
2020-11-30,7270.0,2020-11-29,0.0,24.4,36.0
2020-12-06,243.0,2020-12-05,0.0,51.8,69.8
2020-12-14,108.0,2020-12-13,0.0,21.4,74.80000000000001
2020-12-20,173.0,2020-12-19,0.0,0.0,0.0
2020-12-28,246.0,2020-12-27,0.4,26.6,54.400000000000006
2021-01-03,272.0,2021-01-02,0.0,0.4,0.4
2021-01-11,243.0,2021-01-10,0.0,29.0,36.8
2021-01-17,98.0,2021-01-16,0.0,0.4,0.4
2021-01-26,211.0,2021-01-25,2.2,6.0,18.8
2021-01-31,41.0,2021-01-30,0.0,2.4,5.0
2021-02-09,175.0,2021-02-08,0.0,0.0,0.0
2021-02-14,84.0,2021-02-13,0.0,21.2,22.0
2021-02-22,282.0,2021-02-21,0.0,15.0,24.8
2021-03-01,120.0,2021-02-28,0.0,0.0,0.0
2021-03-08,259.0,2021-03-07,4.4,4.4,12.2
2021-03-14,256.0,2021-03-13,0.0,39.0,80.80000000000001
2021-03-28,269.0,2021-03-27,0.0,0.2,0.2
2021-04-05,350.0,2021-04-04,0.0,26.8,41.8
2021-04-11,602.0,2021-04-10,0.0,3.0,3.8
2021-04-19,231.0,2021-04-18,0.0,14.0,32.0
2021-04-25,285.0,2021-04-24,0.6,2.8,5.6
2021-11-02,1050.0,2021-11-01,6.8,9.2,28.2
2021-11-09,391.0,2021-11-08,0.0,0.8,1.6
2021-11-15,2098.0,2021-11-14,18.0,18.0,27.2
2021-11-23,958.0,2021-11-22,15.4,15.4,31.4
2021-11-30,8160.0,2021-11-29,9.0,9.0,12.4
2021-12-07,8660.0,2021-12-06,2.8,24.0,54.0
2021-12-14,10500.0,2021-12-13,27.2,80.4,172.4
2021-12-21,364.0,2021-12-20,0.0,33.0,53.6
2021-12-28,1274.0,2021-12-27,0.0,3.2,3.2
2022-01-04,201.0,2022-01-03,0.0,19.2,20.4
2022-01-11,355.0,2022-01-10,0.0,0.0,0.0
2022-01-18,146.0,2022-01-17,0.0,2.6,2.6
2022-01-25,368.0,2022-01-24,0.0,3.0,3.0
2022-02-01,228.0,2022-01-31,0.0,20.6,23.400000000000002
2022-02-08,1145.0,2022-02-07,36.8,100.2,137.0
2022-02-15,488.0,2022-02-14,5.4,41.6,64.4
2022-02-22,959.0,2022-02-21,32.0,32.0,33.2
2022-03-01,399.0,2022-02-28,0.0,0.0,0.0
2022-03-08,631.0,2022-03-07,0.0,0.0,0.0
2022-03-15,266.0,2022-03-14,0.0,0.0,0.0
2022-03-22,85.0,2022-03-21,0.0,0.0,0.0
2022-03-29,275.0,2022-03-28,0.0,18.2,36.2
2022-04-05,52.0,2022-04-04,0.2,0.2,0.8
2022-04-12,305.0,2022-04-11,0.0,6.6,8.4
2022-04-20,161.0,2022-04-19,0.0,2.4,3.4
2022-04-27,253.0,2022-04-26,0.2,33.2,35.800000000000004
2022-11-01,988.0,2022-10-31,13.4,13.4,28.4
2022-11-07,75.0,2022-11-06,0.0,13.4,24.4
2022-11-14,706.0,2022-11-13,4.2,7.2,11.4
2022-11-21,683.0,2022-11-20,34.0,34.0,65.0
2022-11-28,181.0,2022-11-27,0.0,18.8,56.4
2022-12-05,295.0,2022-12-04,0.0,11.2,17.8
2022-12-12,183.0,2022-12-11,10.8,13.4,25.2
2022-12-19,1616.0,2022-12-18,26.6,26.6,38.8
2022-12-26,309.0,2022-12-25,1.2,14.0,28.799999999999997
2023-01-02,213.0,2023-01-01,0.0,0.0,0.0
2023-01-09,450.0,2023-01-08,4.2,28.4,38.6
2023-01-16,305.0,2023-01-15,0.0,3.4,4.4
2023-01-24,586.0,2023-01-23,0.0,8.0,8.0
2023-01-30,336.0,2023-01-29,13.2,19.6,34.199999999999996
2023-02-07,389.0,2023-02-06,18.6,18.6,36.800000000000004
