date,ecoli_value,rainfall_site,flow_site1,flow_site2,rain_mm_day0,rain_mm_prior24h,rain_mm_prior48h,rain_mm_prior72h,rain_mm_prior7d,flowsite1_max_day0,flowsite1_max_prior24h,flowsite1_max_prior48h,flowsite1_max_prior72h,flowsite1_max_prior7d,flowsite2_max_day0,flowsite2_max_prior24h,flowsite2_max_prior48h,flowsite2_max_prior72h,flowsite2_max_prior7d
27/1/19 0:00,457,Ohau at Makahika,Waikawa at North Manakau Road,,17,1,1,5.5,9.5,554.83,662.44,2118.39,2691.33,6745.08,,,,,
4/2/19 0:00,,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,14.89,18.5,42.5,689.53,2057.77,2726.92,3458.35,10292.17,,,,,
10/2/19 0:00,85,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,0,6,461.48,475.36,978.15,1551.09,5481.4,,,,,
18/2/19 0:00,73,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,6.5,8.5,392.87,514.06,1946.17,2370.52,4143.38,,,,,
24/2/19 0:00,504,Ohau at Makahika,Waikawa at North Manakau Road,,30.5,3.5,47.51,51.01,51.51,11790.16,12436.68,12849.07,13215.42,14877.58,,,,,
4/3/19 0:00,96,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,0,1,603.95,655.77,1366.06,2201.16,10364.7,,,,,
10/3/19 0:00,31,Ohau at Makahika,Waikawa at North Manakau Road,,0,7.36,19.5,19.5,22,2239.23,2331.81,3262.34,4376.8,6740.49,,,,,
17/3/19 0:00,41,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,29.51,47.02,922.34,1305.48,8874.33,11984.15,16015.55,,,,,
24/3/19 0:00,121,Ohau at Makahika,Waikawa at North Manakau Road,,0.5,0,0,0,0,497.22,525.5,1080.33,1678,4728.47,,,,,
1/4/19 0:00,784,Ohau at Makahika,Waikawa at North Manakau Road,,18,0,0,0,20,475.36,519.76,1136.42,3808.44,10094.53,,,,,
7/4/19 0:00,85,Ohau at Makahika,Waikawa at North Manakau Road,,4.86,0,0,0,18,486.21,519.76,1086.62,1776.15,8038.06,,,,,
15/4/19 0:00,86,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,3,37.63,731.43,947.02,4111.77,6274.46,12879.23,,,,,
29/4/19 0:00,1296,Ohau at Makahika,Waikawa at North Manakau Road,,38.5,6.5,16.5,16.5,22,1045.6,486.21,902.56,1334.99,3595.2,,,,,
