date,ecoli_value,rain_day0_mm,rain_prior24h_mm,rain_prior48h_mm,rain_prior72h_mm
20/11/23 0:00,439,14,21,33.5,49.5
27/11/23 0:00,197,0,0,0,16
4/12/23 0:00,327,7.5,14.5,14.5,14.5
11/12/23 0:00,323,0,49.5,49.5,49.5
18/12/23 0:00,156,5,3,35.5,36
27/12/23 0:00,98,2,0,19,38
3/1/24 0:00,85,0,0,0,12
8/1/24 0:00,52,0,0,4,8.5
15/1/24 0:00,10,3.5,0.5,0.5,1
23/1/24 0:00,108,9,0,3.5,10.5
29/1/24 0:00,134,0,4.5,26,26
5/2/24 0:00,134,0,0.5,14,24
12/2/24 0:00,108,0,0.5,0.5,0.5
19/2/24 0:00,256,0.5,0,4.5,4.5
26/2/24 0:00,228,0,21.5,22,22
4/3/24 0:00,556,32.5,12,26.5,26.5
11/3/24 0:00,187,0,0,0,4
18/3/24 0:00,85,3.5,1,1,1
25/3/24 0:00,52,0,0,0,0
2/4/24 0:00,201,0,0,0,0
8/4/24 0:00,84,0,0,0,0
15/4/24 0:00,146,4,0.5,11,53.5
22/4/24 0:00,134,0,0.5,0.5,0.5
4/11/24 0:00,61,0,0,11,14.5
18/11/24 0:00,10,0,0,9,28.5
25/11/24 0:00,98,8.5,0.5,6.5,6.5
9/12/24 0:00,2224,54,22,22,22
16/12/24 0:00,134,15.5,0,0.5,7.5
23/12/24 0:00,108,5,2,11,14
30/12/24 0:00,171,9,0,0,1.5
6/1/25 0:00,98,0,11,18.5,34
13/1/25 0:00,63,0,0,0,0
21/1/25 0:00,84,0,0,0,0
27/1/25 0:00,631,5,6.5,6.5,11.5
3/2/25 0:00,120,0,0,0,14.5
10/2/25 0:00,120,0,0,0,0
17/2/25 0:00,158,0,0,0,0
24/2/25 0:00,110,0,0,0,2.5
4/3/25 0:00,30,19.5,8.5,8.5,8.5
10/3/25 0:00,110,0,0,2,2
17/3/25 0:00,241,9,5.5,12.5,12.5
24/3/25 0:00,121,3.5,1,1,1
31/3/25 0:00,148,0,0,0,0.5
7/4/25 0:00,279,5.5,5.5,17.5,59
14/4/25 0:00,74,0,0,0,0
22/4/25 0:00,158,0,14.5,14.5,14.5
28/4/25 0:00,158,0,0,0,0
4/11/25 0:00,31,0,0,0,0
11/11/25 0:00,512,1.5,14.5,14.5,14.5
18/11/25 0:00,52,1,0,0,4.5
25/11/25 0:00,86,3.5,0.5,1,1
2/12/25 0:00,86,5,1,16.5,16.5
9/12/25 0:00,86,0,0,7,8.5
16/12/25 0:00,63,22,0,0,0
22/12/25 0:00,31,0.5,0,1,14.5
29/12/25 0:00,41,0.5,0,0,21.5
7/1/26 0:00,52,0,0,0,0
13/1/26 0:00,122,0,4,4,4.5
21/1/26 0:00,110,1,0,0,0
27/1/26 0:00,203,18,28,48,86
3/2/26 0:00,86,12.5,8,8,8
10/2/26 0:00,30,0,0,0,1
17/2/26 0:00,97,0.5,11.5,25,30.5
24/2/26 0:00,41,0,0,0,0
3/3/26 0:00,75,1,5.5,7,7
11/3/26 0:00,97,0,0,9,13.5
17/3/26 0:00,110,0,0,0,3.5
24/3/26 0:00,197,0,0,0,0
31/3/26 0:00,345,0.5,13.5,13.5,13.5
8/4/26 0:00,108,5.5,0,0,0
14/4/26 0:00,414,5.5,12.5,25,25
21/4/26 0:00,269,5.5,30.5,32,34
29/4/26 0:00,156,0.5,0,0,0
