date,ecoli_value,rain_day0_mm,rain_prior24h_mm,rain_prior48h_mm,rain_prior72h_mm
11/11/24 0:00,2613,0,55,55.5,57
18/11/24 0:00,160,0,0,9,28.5
25/11/24 0:00,292,8.5,0.5,6.5,6.5
9/12/24 0:00,5794,54,22,22,22
16/12/24 0:00,287,15.5,0,0.5,7.5
23/12/24 0:00,292,5,2,11,14
30/12/24 0:00,345,9,0,0,1.5
6/1/25 0:00,122,0,11,18.5,34
13/1/25 0:00,203,0,0,0,0
21/1/25 0:00,10,0,0,0,0
27/1/25 0:00,110,5,6.5,6.5,11.5
3/2/25 0:00,20,0,0,0,14.5
10/2/25 0:00,368,0,0,0,0
17/2/25 0:00,108,0,0,0,0
24/2/25 0:00,311,0,0,0,2.5
4/3/25 0:00,41,19.5,8.5,8.5,8.5
10/3/25 0:00,216,0,0,2,2
17/3/25 0:00,63,9,5.5,12.5,12.5
24/3/25 0:00,428,3.5,1,1,1
31/3/25 0:00,63,0,0,0,0.5
7/4/25 0:00,481,5.5,5.5,17.5,59
14/4/25 0:00,932,0,0,0,0
22/4/25 0:00,1607,0,14.5,14.5,14.5
28/4/25 0:00,2495,0,0,0,0
4/11/25 0:00,134,0,0,0,0
11/11/25 0:00,1198,1.5,14.5,14.5,14.5
18/11/25 0:00,97,1,0,0,4.5
25/11/25 0:00,41,3.5,0.5,1,1
2/12/25 0:00,657,5,1,16.5,16.5
9/12/25 0:00,41,0,0,7,8.5
16/12/25 0:00,122,22,0,0,0
22/12/25 0:00,20,0.5,0,1,14.5
29/12/25 0:00,169,0.5,0,0,21.5
7/1/26 0:00,201,0,0,0,0
13/1/26 0:00,256,0,4,4,4.5
21/1/26 0:00,218,1,0,0,0
27/1/26 0:00,426,18,28,48,86
3/2/26 0:00,275,12.5,8,8,8
10/2/26 0:00,97,0,0,0,1
17/2/26 0:00,3450,0.5,11.5,25,30.5
24/2/26 0:00,160,0,0,0,0
3/3/26 0:00,262,1,5.5,7,7
11/3/26 0:00,341,0,0,9,13.5
17/3/26 0:00,399,0,0,0,3.5
24/3/26 0:00,85,0,0,0,0
31/3/26 0:00,1439,0.5,13.5,13.5,13.5
8/4/26 0:00,134,5.5,0,0,0
14/4/26 0:00,706,5.5,12.5,25,25
21/4/26 0:00,17300,5.5,30.5,32,34
29/4/26 0:00,135,0.5,0,0,0
