E.coli date,E.coli value,Max flow value (past 24 hours),Max flow value (past 48 hours),Total flow value (past 48 hours),Max flow value (past 72 hours),Total flow value (past 72 hours),Max flow value (past 96 hours),Total flow value (past 96 hours),Max flow value (past 120 hours),Total flow value (past 120 hours),Max flow value (past 144 hours),Total flow value (past 144 hours),Max flow value (past 168 hours),Total flow value (past 168 hours)
2018-12-10,97.0,480.76,591.42,1072.1799999999998,1124.54,2196.72,1124.54,3008.91,3257.44,6266.35,3257.44,6727.83,3257.44,7241.889999999999
2018-12-24,10.0,1124.54,1566.26,2690.8,1566.26,2690.8,1566.26,3049.7400000000002,1566.26,3419.8300000000004,1566.26,3836.1800000000003,1566.26,4272.6900000000005
2018-12-30,379.0,548.88,610.28,1159.1599999999999,782.23,1941.3899999999999,1339.27,3280.66,1339.27,3977.0699999999997,1339.27,4796.849999999999,1339.27,5921.389999999999
2019-01-07,932.0,1017.02,1578.83,2595.85,5765.84,8361.69,5765.84,10109.54,5765.84,10944.640000000001,5765.84,12130.990000000002,5765.84,14218.430000000002
2019-01-13,73.0,1017.02,1250.4,2267.42,1250.4,3141.54,1250.4,4381.11,6126.92,10508.029999999999,6126.92,11438.56,6126.92,12455.58
2019-01-22,63.0,1815.65,1815.65,2754.4,1815.65,3492.96,1815.65,4305.15,1815.65,5219.349999999999,1815.65,6524.83,9208.09,15732.92
2019-01-27,457.0,662.44,1455.95,2118.3900000000003,1455.95,2691.3300000000004,1455.95,3307.9900000000002,1455.95,3990.6800000000003,1815.65,5806.33,1815.65,6745.08
2019-02-10,85.0,475.36,502.79,978.1500000000001,572.94,1551.0900000000001,579.06,2130.15,603.95,2734.1000000000004,689.53,3423.63,2057.77,5481.4
2019-02-18,73.0,514.06,1432.11,1946.1699999999998,1432.11,2370.52,1432.11,2845.88,1432.11,3266.2200000000003,1432.11,3698.65,1432.11,4143.38
2019-02-24,504.0,12436.68,12436.68,12849.07,12436.68,13215.42,12436.68,13589.26,12436.68,13970.65,12436.68,14363.52,12436.68,14877.58
2019-03-04,96.0,655.77,710.29,1366.06,835.1,2201.16,955.33,3156.49,1186.35,4342.84,2239.23,6582.07,3782.63,10364.7
2019-03-10,31.0,2331.81,2331.81,3262.34,2331.81,4376.8,2331.81,4913.91,2331.81,5480.7699999999995,2331.81,6084.719999999999,2331.81,6740.49
2019-03-17,41.0,1305.48,7568.85,8874.33,7568.85,11984.15,7568.85,12498.21,7568.85,13059.029999999999,7568.85,13776.32,7568.85,16015.55
2019-03-24,121.0,525.5,554.83,1080.33,597.67,1678.0,642.57,2320.57,703.33,3023.9,782.23,3806.13,922.34,4728.47
2019-04-01,784.0,519.76,616.66,1136.42,2672.02,3808.44,4547.89,8356.33,4547.89,9153.45,4547.89,9619.17,4547.89,10094.53
2019-04-07,85.0,519.76,566.86,1086.62,689.53,1776.1499999999999,1504.35,3280.5,3762.44,7042.9400000000005,3762.44,7518.3,3762.44,8038.06
2019-04-15,86.0,947.02,3164.75,4111.77,3164.75,6274.460000000001,4890.25,11164.710000000001,4890.25,11650.92,4890.25,12403.87,4890.25,12879.230000000001
2019-04-29,1296.0,486.21,486.21,902.56,486.21,1334.99,486.21,1804.99,554.83,2359.82,662.44,3022.26,662.44,3595.2000000000003
